country,year,rgdpo,rkna,labsh,pl_i,pl_gdpo,pop
Mozambique,2006,20533.376953125,24165.86328125,0.42669305205345154,0.5343992597173357,0.40425002574920654,21.737859999999998
Mozambique,1994,8250.4658203125,11265.001953125,0.42622947692871094,0.6996021363596375,0.30625271797180176,15.363064999999999
Mozambique,1995,7624.9267578125,11842.0263671875,0.42622947692871094,2.401139821026547,0.33524104952812195,15.913101
Mozambique,1991,7650.044921875,10091.2998046875,0.42622947692871094,1.0665782795846988,0.421537309885025,13.719852999999999
Mozambique,1992,6944.630859375,10419.0869140625,0.42622947692871094,1.0288780338248305,0.3440438508987427,14.203987
Mozambique,1999,10398.79296875,14813.5595703125,0.4676681458950043,1.2350323788128836,0.5036832690238953,17.774065999999998
Mozambique,2000,11963.2021484375,16495.833984375,0.436790406703949,0.6695684188229835,0.42182186245918274,18.264536
Mozambique,1988,6731.5810546875,8790.505859375,0.42622947692871094,0.858254652867855,0.4578649401664734,13.124284999999999
Mozambique,1998,10726.3359375,13905.130859375,0.42366692423820496,0.7837428167444921,0.44834399223327637,17.317376
Mozambique,1990,7116.99658203125,9677.7080078125,0.42622947692871094,1.02406970923191,0.501175045967102,13.371971
Mozambique,1996,8980.3251953125,12438.3544921875,0.42622947692871094,0.7939234004104003,0.38616496324539185,16.410777
Mozambique,1989,7288.544921875,9205.896484375,0.42622947692871094,0.9139857811754877,0.4539625346660614,13.181941
Mozambique,1997,10288.7890625,13188.31640625,0.4427278935909271,0.5570331950361109,0.4070439338684082,16.872896
Mozambique,1987,6643.18505859375,8389.8759765625,0.42622947692871094,0.8255108978446607,0.5461322665214539,13.142515999999999
Myanmar,1989,34560.76171875,15718.9140625,NA,0.34605203214222535,0.14778561890125275,41.379635
Myanmar,1984,39794.4609375,13581.9365234375,NA,0.5580215127429016,0.17384536564350128,37.724581
Myanmar,1988,33850.15625,15448.0244140625,NA,0.4328534629879809,0.14065299928188324,40.711172
Myanmar,1985,40473.44921875,14298.7392578125,NA,0.5538918326697214,0.17370572686195374,38.508821
Myanmar,1981,33153.39453125,10737.798828125,NA,0.606885701638946,0.1924651563167572,35.279907
Myanmar,2000,57631.796875,37140.859375,NA,0.17440377153652636,0.13027161359786987,47.669791
Myanmar,1983,37205.7265625,12844.099609375,NA,0.5721809806573395,0.17975685000419617,36.91798
Myanmar,1987,38948.71875,15384.8115234375,NA,0.3887884398785162,0.1334436982870102,40.005369
Myanmar,1982,35387.6640625,11933.6162109375,NA,0.5793706373810745,0.18350720405578613,36.098908
Myanmar,1996,51098.86328125,24523.05859375,NA,0.2999497713478575,0.17223425209522247,45.290887999999995
Myanmar,1986,40203.703125,14917.0673828125,NA,0.4178753634587027,0.13131476938724518,39.269143
Myanmar,2001,59987.98828125,41038.2265625,NA,0.16347419466344118,0.13083717226982117,48.195684
Myanmar,1999,58412.31640625,33516.19921875,NA,0.19282455118972677,0.11652957648038864,47.106922999999995
Myanmar,2007,107125.890625,95226.484375,NA,0.14988146595058907,0.17172332108020782,50.698814
Myanmar,1990,35154.48828125,16438.03515625,NA,0.43402742652206255,0.15441063046455383,42.007309
Myanmar,1980,31272.607421875,9690.28125,NA,0.6391223266084969,0.2033592164516449,34.470694
Myanmar,1994,45599.80078125,20092.626953125,NA,0.35076148052554473,0.16359905898571014,44.164108999999996
Myanmar,1995,50912.640625,22011.490234375,NA,0.3525344206927843,0.1594914197921753,44.710930999999995
Myanmar,2006,96302.2578125,79540.8125,NA,0.1320178038370177,0.14503268897533417,50.355559
Myanmar,1997,50652.859375,27183.55859375,NA,0.30313247115881214,0.18614087998867035,45.895990999999995
Myanmar,1998,60199.9921875,30211.3984375,NA,0.18191180565086432,0.10228320211172104,46.509586
Myanmar,2005,85341.078125,67435.9140625,NA,0.13075480360864947,0.14077800512313843,49.984704
Myanmar,1993,47334.36328125,18799.099609375,NA,0.38663653341162735,0.14426496624946594,43.642311
Myanmar,1991,33911.1171875,17184.623046875,NA,0.43469243729546947,0.16487784683704376,42.588029
Myanmar,1992,36467.328125,17912.416015625,NA,0.4229259920360387,0.17206192016601562,43.126259999999995
Myanmar,2004,74172.125,57811.09375,NA,0.1343476652851874,0.14184749126434326,49.582750999999995
Myanmar,2003,68644.1640625,50701.19921875,NA,0.14664626267875672,0.1484505534172058,49.151958
Myanmar,2002,59475.1796875,44987.0703125,NA,0.1739086535496283,0.17889605462551117,48.689952
Namibia,1986,5268.5673828125,21923.583984375,0.6012359857559204,0.27553124884296093,0.3284130096435547,1.194769
Namibia,1987,6523.6083984375,21935.6875,0.6012359857559204,0.26173146659161506,0.34071817994117737,1.247186
Namibia,1985,5118.89794921875,22003.583984375,0.6012359857559204,0.19845909640690593,0.29725372791290283,1.149389
Namibia,1984,5374.701171875,22056.841796875,0.6012359857559204,0.261519629004974,0.34963664412498474,1.112044
Namibia,1983,5417.06396484375,22152.84375,0.6012359857559204,0.31081686805487496,0.4152299761772156,1.08174
